Date (MDY),1-Air_Temperature (Deg C)
1/24/2018,58.2
1/24/2018,58.2
1/24/2018,58.2
1/24/2018,58.2
1/24/2018,58.2
1/24/2018,58.2
1/24/2018,58.2
1/24/2018,58.2
1/24/2018,58.2
1/24/2018,58.2
1/24/2018,57.9
1/24/2018,57.9
1/24/2018,57.9
1/24/2018,57.9
1/24/2018,57.9
1/24/2018,57.9
1/24/2018,57.9
1/24/2018,57.9
1/24/2018,57.9
1/24/2018,57.9
1/24/2018,57.9
1/24/2018,57.9
1/24/2018,57.9
1/24/2018,57.9
1/24/2018,57.9
1/24/2018,57.9
1/24/2018,57.9
1/24/2018,57.9
1/24/2018,57.9
1/24/2018,57.9
1/24/2018,57.4
1/24/2018,57.4
1/24/2018,57.4
1/24/2018,57.4
1/24/2018,57.4
1/24/2018,57.4
1/24/2018,57.4
1/24/2018,57.4
1/24/2018,57.4
1/24/2018,57.4
1/24/2018,57
1/24/2018,57
1/24/2018,57
1/24/2018,57
1/24/2018,57
1/24/2018,57
1/24/2018,57
1/24/2018,57
1/24/2018,57
1/24/2018,57
1/24/2018,56.6
1/24/2018,56.6
1/24/2018,56.6
1/24/2018,56.6
1/24/2018,56.6
1/24/2018,56.6
1/24/2018,56.6
1/24/2018,56.6
1/24/2018,56.6
1/24/2018,56.6
1/24/2018,56.2
1/24/2018,56.2
1/24/2018,56.2
1/24/2018,56.2
1/24/2018,56.2
1/24/2018,56.2
1/24/2018,56.2
1/24/2018,56.2
1/24/2018,56.2
1/24/2018,56.2
1/24/2018,56.1
1/24/2018,56.1
1/24/2018,56.1
1/24/2018,56.1
1/24/2018,56
1/24/2018,56
1/24/2018,56
1/24/2018,56
1/24/2018,56
1/24/2018,56
1/24/2018,55.9
1/24/2018,55.9
1/24/2018,55.9
1/24/2018,55.9
1/24/2018,55.9
1/24/2018,55.9
1/24/2018,55.9
1/24/2018,55.9
1/24/2018,55.9
1/24/2018,55.9
1/24/2018,56
1/24/2018,56
1/24/2018,56
1/24/2018,56
1/24/2018,56
1/24/2018,56
1/24/2018,56
1/24/2018,56
1/24/2018,56
1/24/2018,56
1/24/2018,56.2
1/24/2018,56.2
1/24/2018,56.2
1/24/2018,56.2
1/24/2018,56.2
1/24/2018,56.2
1/24/2018,56.2
1/24/2018,56.2
1/24/2018,56.2
1/24/2018,56.2
1/24/2018,56.5
1/24/2018,56.5
1/24/2018,56.5
1/24/2018,56.5
1/24/2018,56.5
1/24/2018,56.5
1/24/2018,56.5
1/24/2018,56.5
1/24/2018,56.5
1/24/2018,56.5
1/24/2018,56.7
1/24/2018,56.7
1/24/2018,56.7
1/24/2018,56.7
1/24/2018,56.7
1/24/2018,56.7
1/24/2018,56.7
1/24/2018,56.7
1/24/2018,56.7
1/24/2018,56.7
1/24/2018,56.9
1/24/2018,56.9
1/24/2018,56.9
1/24/2018,56.9
1/24/2018,56.9
1/24/2018,56.9
1/24/2018,56.9
1/24/2018,56.9
1/24/2018,56.9
1/24/2018,56.9
1/24/2018,57.5
1/24/2018,57.5
1/24/2018,57.5
1/24/2018,57.5
1/24/2018,57.5
1/24/2018,57.5
1/24/2018,57.5
1/24/2018,57.5
1/24/2018,57.4
1/24/2018,57.4
1/24/2018,57.6
1/24/2018,57.6
1/24/2018,57.6
1/24/2018,57.6
1/24/2018,57.6
1/24/2018,57.6
1/24/2018,57.6
1/24/2018,57.6
1/24/2018,57.6
1/24/2018,57.6
1/24/2018,58
1/24/2018,58
1/24/2018,58
1/24/2018,58
1/24/2018,58
1/24/2018,57.9
1/24/2018,57.9
1/24/2018,57.9
1/24/2018,57.9
1/24/2018,57.9
1/24/2018,57.9
1/24/2018,57.9
1/24/2018,57.9
1/24/2018,57.9
1/24/2018,57.9
1/24/2018,57.9
1/24/2018,57.9
1/24/2018,57.9
1/24/2018,57.9
1/24/2018,57.9
1/24/2018,57.9
1/24/2018,57.9
1/24/2018,57.9
1/24/2018,57.9
1/24/2018,57.8
1/24/2018,57.8
1/24/2018,57.8
1/24/2018,57.8
1/24/2018,57.8
1/24/2018,57.8
1/24/2018,58
1/24/2018,58
1/24/2018,58
1/24/2018,58
1/24/2018,58
1/24/2018,58
1/24/2018,58
1/24/2018,58
1/24/2018,58
1/24/2018,58
1/24/2018,58.2
1/24/2018,58.2
1/24/2018,58.2
1/24/2018,58.2
1/24/2018,58.2
1/24/2018,58.2
1/24/2018,58.2
1/24/2018,58.2
1/24/2018,58.2
1/24/2018,58.2
1/24/2018,58.3
1/24/2018,58.3
1/24/2018,58.3
1/24/2018,58.3
1/24/2018,58.3
1/24/2018,58.3
1/24/2018,58.3
1/24/2018,58.3
1/24/2018,58.3
1/24/2018,58.3
1/24/2018,58.3
1/24/2018,58.3
1/24/2018,58.3
1/24/2018,58.3
1/24/2018,58.3
1/24/2018,58.3
1/24/2018,58.3
1/24/2018,58.3
1/24/2018,58.3
1/24/2018,58.3
1/24/2018,58.4
1/24/2018,58.4
1/24/2018,58.4
1/24/2018,58.4
1/24/2018,58.4
1/24/2018,58.4
1/24/2018,58.4
1/24/2018,58.4
1/24/2018,58.4
1/24/2018,58.4
1/24/2018,58.7
1/24/2018,58.7
1/24/2018,58.7
1/24/2018,58.7
1/24/2018,58.7
1/24/2018,58.7
1/24/2018,58.7
