Date,Chamber 1 Air Temperature
1/30/2018,58
1/30/2018,58
1/30/2018,57.9
1/30/2018,57.8
1/30/2018,57.9
1/30/2018,57.9
1/30/2018,58
1/30/2018,57.9
1/30/2018,58
1/30/2018,58.2
1/30/2018,58.1
1/30/2018,58
1/30/2018,58
1/30/2018,57.8
1/30/2018,57.6
1/30/2018,57.8
1/30/2018,57.9
1/30/2018,58
1/30/2018,58
1/30/2018,57.8
1/30/2018,57.7
1/30/2018,57.9
1/30/2018,57.9
1/30/2018,58
1/30/2018,58.1
1/30/2018,58.2
1/30/2018,58.2
1/30/2018,58.2
1/30/2018,58.2
1/30/2018,58.1
1/30/2018,58.1
1/30/2018,58.2
1/30/2018,58.2
1/30/2018,58.1
1/30/2018,58
1/30/2018,57.7
1/30/2018,57.9
1/30/2018,58
1/30/2018,58
1/30/2018,57.9
1/30/2018,57.9
1/30/2018,58
1/30/2018,58
1/30/2018,57.9
1/30/2018,58
1/30/2018,58.1
1/30/2018,58.1
1/30/2018,58
1/30/2018,58
1/30/2018,57.8
1/30/2018,57.9
1/30/2018,58
1/30/2018,57.9
1/30/2018,58
1/30/2018,58.1
1/30/2018,58.2
1/30/2018,58.1
1/30/2018,58.2
1/30/2018,58
1/30/2018,57.9
1/30/2018,57.9
