Date/Time,2_Air_Temperature (Deg C)
6/13/2018 0:00,81
6/13/2018 0:01,81
6/13/2018 0:02,81.1
6/13/2018 0:03,80.9
6/13/2018 0:04,80.9
6/13/2018 0:05,81
6/13/2018 0:06,81.1
6/13/2018 0:07,81.1
6/13/2018 0:08,81
6/13/2018 0:09,81
6/13/2018 0:10,81
6/13/2018 0:11,80.9
6/13/2018 0:12,81
6/13/2018 0:13,81
6/13/2018 0:14,81
6/13/2018 0:15,81
6/13/2018 0:16,81
6/13/2018 0:17,81
6/13/2018 0:18,81.1
6/13/2018 0:19,81
6/13/2018 0:20,80.9
6/13/2018 0:21,81
6/13/2018 0:22,81.1
6/13/2018 0:23,81
6/13/2018 0:24,81
6/13/2018 0:25,81
6/13/2018 0:26,81
6/13/2018 0:27,81
6/13/2018 0:28,81
6/13/2018 0:29,81
6/13/2018 0:30,81
6/13/2018 0:31,80.9
6/13/2018 0:32,81
6/13/2018 0:33,81
6/13/2018 0:34,81.1
6/13/2018 0:35,81
6/13/2018 0:36,80.9
6/13/2018 0:37,81
6/13/2018 0:38,81
6/13/2018 0:39,81.1
6/13/2018 0:40,81
6/13/2018 0:41,81
6/13/2018 0:42,81
6/13/2018 0:43,81
6/13/2018 0:44,81
6/13/2018 0:45,81.1
6/13/2018 0:46,81
6/13/2018 0:47,81
6/13/2018 0:48,80.9
6/13/2018 0:49,81
6/13/2018 0:50,81
6/13/2018 0:51,81
6/13/2018 0:52,80.9
6/13/2018 0:53,81
6/13/2018 0:54,81
6/13/2018 0:55,81
6/13/2018 0:56,81.1
6/13/2018 0:57,81
6/13/2018 0:58,81
6/13/2018 0:59,81
6/13/2018 1:00,80.9
